机构名称,类型,板块,注册地,保荐机构,保荐代表人,律师事务所,签字律师,会计师事务所,签字会计师,是否提交财务自查报告,所属行业,日期,xxx,时间戳,保荐机构.1,文件链接
厦门松霖科技,已通过发审会,主板企业,,广发证券股份有限公司,,北京大成律师事务所,,天健会计师事务所(特殊普通合伙),,是,,2019/7/11,80902073,AN201908131343026249,广发证券股份有限公司,https://notice.eastmoney.com/pdffile/web/H2_AN201908131343026249_1.pdf
厦门雅迅网络,已受理,主板企业,厦门,中信建投证券股份有限公司,吴书振&sbquo;吴雨翘,北京金诚同达律师事务所,郑晓东&sbquo;刘胤宏&sbquo;郑素文,致同会计师事务所(特殊普通合伙),黄印强&sbquo;余道前,否,计算机、通信和其他电子设备制造业,2018/10/11,80102706,AN201905231331826634,中信建投证券股份有限公司,https://notice.eastmoney.com/pdffile/web/H2_AN201905231331826634_1.pdf
厦门雅迅网络,已反馈,主板企业,厦门,中信建投证券股份有限公司,吴书振&sbquo;吴雨翘,北京金诚同达律师事务所,郑晓东&sbquo;刘胤宏&sbquo;郑素文,致同会计师事务所(特殊普通合伙),黄印强&sbquo;余道前,是,计算机、通信和其他电子设备制造业,2018/11/22,80102706,AN201905231331826634,中信建投证券股份有限公司,https://notice.eastmoney.com/pdffile/web/H2_AN201905231331826634_1.pdf
厦门雅迅网络,预先披露更新,主板企业,,中信建投证券股份有限公司,,北京金诚同达律师事务所,,致同会计师事务所(特殊普通合伙),,是,,2019/5/23,80102706,AN201905231331826634,中信建投证券股份有限公司,https://notice.eastmoney.com/pdffile/web/H2_AN201905231331826634_1.pdf
厦门银行,已受理,主板企业,厦门,中信建投证券股份有限公司,蒋潇&sbquo;周明圆,国浩律师(上海)事务所,陈一宏&sbquo;韦玮&sbquo;叶嘉雯,安永华明会计师事务所(特殊普通合伙),赵雅&sbquo;琚志宏,否,货币金融服务,2017/11/30,80039308,AN202009151412523878,中信建投证券股份有限公司,https://notice.eastmoney.com/pdffile/web/H2_AN202009151412523878_1.pdf
厦门银行,已反馈,主板企业,厦门,中信建投证券股份有限公司,蒋潇&sbquo;周明圆,国浩律师(上海)事务所,陈一宏&sbquo;韦玮&sbquo;叶嘉雯,安永华明会计师事务所(特殊普通合伙),赵雅&sbquo;琚志宏,否,货币金融服务,2018/1/25,80039308,AN202009151412523878,中信建投证券股份有限公司,https://notice.eastmoney.com/pdffile/web/H2_AN202009151412523878_1.pdf
厦门银行,预先披露更新,主板企业,厦门,中信建投证券股份有限公司,蒋潇&sbquo;周明圆,国浩律师(上海)事务所,陈一宏&sbquo;韦玮&sbquo;叶嘉雯,安永华明会计师事务所(特殊普通合伙),赵雅&sbquo;琚志宏,是,货币金融服务,2018/10/11,80039308,AN202009151412523878,中信建投证券股份有限公司,https://notice.eastmoney.com/pdffile/web/H2_AN202009151412523878_1.pdf
厦门银行,已通过发审会,主板企业,,中信建投证券股份有限公司,,国浩律师(上海)事务所,,安永华明会计师事务所(特殊普通合伙),,是,,2020/7/16,80039308,AN202009151412523878,中信建投证券股份有限公司,https://notice.eastmoney.com/pdffile/web/H2_AN202009151412523878_1.pdf
厦门盈趣科技,已受理,中小板,厦门,招商证券股份有限公司,许德学&sbquo;江荣华,福建至理律师事务所,林涵&sbquo;魏吓虹,致同会计师事务所(特殊普通合伙),熊建益&sbquo;姚斌星,否,计算机、通信和其他电子设备制造业,2017/1/5,80310173,AN201801021072738770,招商证券股份有限公司,https://notice.eastmoney.com/pdffile/web/H2_AN201801021072738770_1.pdf
厦门盈趣科技,已反馈,中小板,厦门,招商证券股份有限公司,许德学&sbquo;江荣华,福建至理律师事务所,林涵&sbquo;魏吓虹,致同会计师事务所(特殊普通合伙),熊建益&sbquo;姚斌星,否,计算机、通信和其他电子设备制造业,2017/4/27,80310173,AN201801021072738770,招商证券股份有限公司,https://notice.eastmoney.com/pdffile/web/H2_AN201801021072738770_1.pdf
厦门盈趣科技,预先披露更新,中小板,厦门,招商证券股份有限公司,许德学&sbquo;江荣华,福建至理律师事务所,林涵&sbquo;魏吓虹,致同会计师事务所(特殊普通合伙),熊建益&sbquo;姚斌星,是,计算机、通信和其他电子设备制造业,2017/11/9,80310173,AN201801021072738770,招商证券股份有限公司,https://notice.eastmoney.com/pdffile/web/H2_AN201801021072738770_1.pdf
厦门盈趣科技,已通过发审会,中小板,厦门,招商证券股份有限公司,许德学&sbquo;江荣华,福建至理律师事务所,林涵&sbquo;魏吓虹,致同会计师事务所(特殊普通合伙),熊建益&sbquo;姚斌星,是,计算机、通信和其他电子设备制造业,2017/11/16,80310173,AN201801021072738770,招商证券股份有限公司,https://notice.eastmoney.com/pdffile/web/H2_AN201801021072738770_1.pdf
厦门纵横集团,已受理,主板企业,厦门,太平洋证券股份有限公司,杨航&sbquo;楚展志,北京市中伦律师事务所,顾峰&sbquo;项瑾,致同会计师事务所(特殊普通合伙),李建彬&sbquo;郭清艺,否,软件和信息技术服务业,2017/6/29,80650861,AN201803261110799941,太平洋证券股份有限公司,https://notice.eastmoney.com/pdffile/web/H2_AN201803261110799941_1.pdf
厦门纵横集团,已反馈,主板企业,厦门,太平洋证券股份有限公司,杨航&sbquo;楚展志,北京市中伦律师事务所,顾峰&sbquo;项瑾,致同会计师事务所(特殊普通合伙),李建彬&sbquo;郭清艺,,软件和信息技术服务业,2017/10/19,80650861,AN201803261110799941,太平洋证券股份有限公司,https://notice.eastmoney.com/pdffile/web/H2_AN201803261110799941_1.pdf
厦门纵横集团,预先披露更新,主板企业,厦门,太平洋证券股份有限公司,杨航&sbquo;楚展志,北京市中伦律师事务所,顾峰&sbquo;项瑾,致同会计师事务所(特殊普通合伙),李建彬&sbquo;郭清艺,是,软件和信息技术服务业,2018/3/29,80650861,AN201803261110799941,太平洋证券股份有限公司,https://notice.eastmoney.com/pdffile/web/H2_AN201803261110799941_1.pdf
山东百龙创园生物科技,已受理,主板企业,,中德证券有限责任公司,,北京海润天睿律师事务所,,致同会计师事务所(特殊普通合伙),,否,,2019/12/12,80558344,AN202010201422558558,中德证券有限责任公司,https://notice.eastmoney.com/pdffile/web/H2_AN202010201422558558_1.pdf
山东百龙创园生物科技,已反馈,主板企业,,中德证券有限责任公司,,北京海润天睿律师事务所,,致同会计师事务所(特殊普通合伙),,否,,2020/1/23,80558344,AN202010201422558558,中德证券有限责任公司,https://notice.eastmoney.com/pdffile/web/H2_AN202010201422558558_1.pdf
山东百龙创园生物科技,预先披露更新,主板企业,,中德证券有限责任公司,,北京海润天睿律师事务所,,致同会计师事务所(特殊普通合伙),,是,,2020/10/22,80558344,AN202010201422558558,中德证券有限责任公司,https://notice.eastmoney.com/pdffile/web/H2_AN202010201422558558_1.pdf
山东百龙创园生物科技,已通过发审会,主板企业,,中德证券有限责任公司,,北京海润天睿律师事务所,,致同会计师事务所(特殊普通合伙),,是,,2020/12/3,80558344,AN202010201422558558,中德证券有限责任公司,https://notice.eastmoney.com/pdffile/web/H2_AN202010201422558558_1.pdf
山东玻纤集团,已受理,主板企业,山东,国信证券股份有限公司,韩培培&sbquo;张立新,国浩律师(上海)事务所,王家水&sbquo;江子扬,山东和信会计师事务所(特殊普通合伙),罗炳勤&sbquo;刘凤文,否,非金属矿物制品业,2017/1/5,80511082,AN202008201399749037,国信证券股份有限公司,https://notice.eastmoney.com/pdffile/web/H2_AN202008201399749037_1.pdf
山东玻纤集团,已反馈,主板企业,山东,国信证券股份有限公司,韩培培&sbquo;张立新,国浩律师(上海)事务所,王家水&sbquo;江子扬,山东和信会计师事务所(特殊普通合伙),罗炳勤&sbquo;刘凤文,否,非金属矿物制品业,2017/4/20,80511082,AN202008201399749037,国信证券股份有限公司,https://notice.eastmoney.com/pdffile/web/H2_AN202008201399749037_1.pdf
山东玻纤集团,预先披露更新,主板企业,山东,国信证券股份有限公司,韩培培&sbquo;张立新,国浩律师(上海)事务所,王家水&sbquo;林祯,山东和信会计师事务所(特殊普通合伙),罗炳勤&sbquo;刘凤文,是,非金属矿物制品业,2017/11/2,80511082,AN202008201399749037,国信证券股份有限公司,https://notice.eastmoney.com/pdffile/web/H2_AN202008201399749037_1.pdf
山东玻纤集团,中止审查,主板企业,山东,国信证券股份有限公司,韩培培&sbquo;张立新,国浩律师(上海)事务所,王家水&sbquo;江子扬,山东和信会计师事务所(特殊普通合伙),罗炳勤&sbquo;刘凤文,是,非金属矿物制品业,2017/9/28,80511082,AN202008201399749037,国信证券股份有限公司,https://notice.eastmoney.com/pdffile/web/H2_AN202008201399749037_1.pdf
山东玻纤集团,已通过发审会,主板企业,,民生证券股份有限公司,,国浩律师(上海)事务所,,山东和信会计师事务所(特殊普通合伙),,是,,2020/6/4,80511082,AN202008201399749037,民生证券股份有限公司,https://notice.eastmoney.com/pdffile/web/H2_AN202008201399749037_1.pdf
山东出版传媒,已受理,主板企业,山东,中银国际证券有限责任公司,贾义真&sbquo;郑伟,北京市竞天公诚律师事务所,王卫国&sbquo;张冰&sbquo;包剑虹,瑞华会计师事务所(特殊普通合伙),王需如&sbquo;范文红,是,新闻和出版业,2017/1/5,80191848,AN201711061016482597,中银国际证券有限责任公司,https://notice.eastmoney.com/pdffile/web/H2_AN201711061016482597_1.pdf
山东出版传媒,已反馈,主板企业,山东,中银国际证券有限责任公司,牛志鹏&sbquo;郑伟,北京市德和衡律师事务所,房立棠&sbquo;郭芳晋,瑞华会计师事务所(特殊普通合伙),王需如&sbquo;范文红,是,新闻和出版业,2017/4/20,80191848,AN201711061016482597,中银国际证券有限责任公司,https://notice.eastmoney.com/pdffile/web/H2_AN201711061016482597_1.pdf
山东出版传媒,预先披露更新,主板企业,山东,中银国际证券有限责任公司,牛志鹏&sbquo;郑伟,北京市德和衡律师事务所,房立棠&sbquo;郭芳晋,瑞华会计师事务所(特殊普通合伙),王需如&sbquo;范文红,是,新闻和出版业,2017/10/12,80191848,AN201711061016482597,中银国际证券有限责任公司,https://notice.eastmoney.com/pdffile/web/H2_AN201711061016482597_1.pdf
山东出版传媒,已通过发审会,主板企业,山东,中银国际证券有限责任公司,牛志鹏&sbquo;郑伟,北京市德和衡律师事务所,房立棠&sbquo;郭芳晋,瑞华会计师事务所(特殊普通合伙),王需如&sbquo;范文红,,新闻和出版业,2017/10/19,80191848,AN201711061016482597,中银国际证券有限责任公司,https://notice.eastmoney.com/pdffile/web/H2_AN201711061016482597_1.pdf
山东大业,已受理,主板企业,山东,国金证券股份有限公司,李鸿&sbquo;胥娟,北京德和衡律师事务所,郭芳晋&sbquo;郭恩颖,中兴华会计师事务所(特殊普通合伙),吕建幕&sbquo;刁乃双,否,金属制品业,2017/1/5,80329971,AN201710300991084393,国金证券股份有限公司,https://notice.eastmoney.com/pdffile/web/H2_AN201710300991084393_1.pdf
山东大业,已反馈,主板企业,山东,国金证券股份有限公司,李鸿&sbquo;胥娟,北京德和衡律师事务所,郭芳晋&sbquo;郭恩颖,中兴华会计师事务所(特殊普通合伙),吕建幕&sbquo;刁乃双,否,金属制品业,2017/4/20,80329971,AN201710300991084393,国金证券股份有限公司,https://notice.eastmoney.com/pdffile/web/H2_AN201710300991084393_1.pdf
山东大业,预先披露更新,主板企业,山东,国金证券股份有限公司,李鸿&sbquo;胥娟,北京德和衡律师事务所,郭芳晋&sbquo;郭恩颖,中兴华会计师事务所(特殊普通合伙),吕建幕&sbquo;刁乃双,是,金属制品业,2017/9/14,80329971,AN201710300991084393,国金证券股份有限公司,https://notice.eastmoney.com/pdffile/web/H2_AN201710300991084393_1.pdf
山东大业,已通过发审会,主板企业,山东,国金证券股份有限公司,李鸿&sbquo;胥娟,北京德和衡律师事务所,郭芳晋&sbquo;郭恩颖,中兴华会计师事务所(特殊普通合伙),吕建幕&sbquo;刁乃双,是,金属制品业,2017/9/21,80329971,AN201710300991084393,国金证券股份有限公司,https://notice.eastmoney.com/pdffile/web/H2_AN201710300991084393_1.pdf
山东东宏管业,已反馈,主板企业,山东,中德证券有限责任公司,陈亚东&sbquo;杨威,北京市天元律师事务所,孔晓燕&sbquo;李海江,瑞华会计师事务所(特殊普通合伙),胡乃忠&sbquo;王传顺,是,橡胶和塑料制品业,2017/1/5,80439281,AN201710230972707923,中德证券有限责任公司,https://notice.eastmoney.com/pdffile/web/H2_AN201710230972707923_1.pdf
山东东宏管业,预先披露更新,主板企业,山东,中德证券有限责任公司,陈亚东&sbquo;杨威,北京懋德律师事务所,李裕国&sbquo;郑婷婷,瑞华会计师事务所(特殊普通合伙),胡乃忠&sbquo;王传顺,是,橡胶和塑料制品业,2017/7/27,80439281,AN201710230972707923,中德证券有限责任公司,https://notice.eastmoney.com/pdffile/web/H2_AN201710230972707923_1.pdf
山东东宏管业,中止审查,主板企业,山东,中德证券有限责任公司,陈亚东&sbquo;杨威,北京市天元律师事务所,孔晓燕&sbquo;李海江,瑞华会计师事务所(特殊普通合伙),胡乃忠&sbquo;王传顺,是,橡胶和塑料制品业,2017/4/13,80439281,AN201710230972707923,中德证券有限责任公司,https://notice.eastmoney.com/pdffile/web/H2_AN201710230972707923_1.pdf
山东东宏管业,已通过发审会,主板企业,山东,中德证券有限责任公司,陈亚东&sbquo;杨威,北京懋德律师事务所,李裕国&sbquo;郑婷婷,瑞华会计师事务所(特殊普通合伙),胡乃忠&sbquo;王传顺,是,橡胶和塑料制品业,2017/8/17,80439281,AN201710230972707923,中德证券有限责任公司,https://notice.eastmoney.com/pdffile/web/H2_AN201710230972707923_1.pdf
山东弘宇农机,已受理,中小板,山东,华英证券有限责任公司,葛娟娟&sbquo;岳远斌,北京市君合律师事务所,赵锡勇&sbquo;汪亚辉,大信会计师事务所(特殊普通合伙),沈文圣&sbquo;王庆宾,否,专用设备制造业,2017/1/5,80476572,AN201707190730298620,华英证券有限责任公司,https://notice.eastmoney.com/pdffile/web/H2_AN201707190730298620_1.pdf
山东弘宇农机,已反馈,中小板,山东,华英证券有限责任公司,葛娟娟&sbquo;岳远斌,北京市君合律师事务所,赵锡勇&sbquo;汪亚辉,大信会计师事务所(特殊普通合伙),沈文圣&sbquo;王庆宾,否,专用设备制造业,2017/2/9,80476572,AN201707190730298620,华英证券有限责任公司,https://notice.eastmoney.com/pdffile/web/H2_AN201707190730298620_1.pdf
山东弘宇农机,预先披露更新,中小板,山东,华英证券有限责任公司,葛娟娟&sbquo;岳远斌,北京市君合律师事务所,赵锡勇&sbquo;汪亚辉,大信会计师事务所(特殊普通合伙),沈文圣&sbquo;王庆宾,是,专用设备制造业,2017/5/25,80476572,AN201707190730298620,华英证券有限责任公司,https://notice.eastmoney.com/pdffile/web/H2_AN201707190730298620_1.pdf
山东弘宇农机,已通过发审会,中小板,山东,华英证券有限责任公司,葛娟娟&sbquo;岳远斌,北京市君合律师事务所,赵锡勇&sbquo;汪亚辉,大信会计师事务所(特殊普通合伙),沈文圣&sbquo;王庆宾,是,专用设备制造业,2017/6/8,80476572,AN201707190730298620,华英证券有限责任公司,https://notice.eastmoney.com/pdffile/web/H2_AN201707190730298620_1.pdf
山东惠发食品,已反馈,主板企业,山东,民生证券股份有限公司,孙振&sbquo;阙雯磊,上海市锦天城律师事务所,朱林海&sbquo;刘波&sbquo;钱双杰,山东和信会计师事务所(特殊普通合伙),刘学伟&sbquo;姜峰,是,农副食品加工业,2017/1/5,80329960,AN201705300613331396,民生证券股份有限公司,https://notice.eastmoney.com/pdffile/web/H2_AN201705300613331396_1.pdf
山东惠发食品,预先披露更新,主板企业,山东,民生证券股份有限公司,孙振&sbquo;阙雯磊,上海市锦天城律师事务所,朱林海&sbquo;刘波&sbquo;钱双杰,山东和信会计师事务所(特殊普通合伙),刘学伟&sbquo;姜峰,是,农副食品加工业,2017/4/13,80329960,AN201705300613331396,民生证券股份有限公司,https://notice.eastmoney.com/pdffile/web/H2_AN201705300613331396_1.pdf
山东惠发食品,已通过发审会,主板企业,山东,民生证券股份有限公司,孙振&sbquo;阙雯磊,上海市锦天城律师事务所,朱林海&sbquo;刘波&sbquo;钱双杰,山东和信会计师事务所(特殊普通合伙),刘学伟&sbquo;姜峰,是,农副食品加工业,2017/5/11,80329960,AN201705300613331396,民生证券股份有限公司,https://notice.eastmoney.com/pdffile/web/H2_AN201705300613331396_1.pdf
山东金麒麟,已反馈,主板企业,山东,国金证券股份有限公司,刘昊拓&sbquo;姜文国,北京市君泽君律师事务所,赵世焰&sbquo;陶修明,立信会计师事务所(特殊普通合伙),裘小燕&sbquo;刘国荣,是,非金属矿物制品业,2017/1/5,80204915,AN201703210425317796,国金证券股份有限公司,https://notice.eastmoney.com/pdffile/web/H2_AN201703210425317796_1.pdf
山东金麒麟,预先披露更新,主板企业,山东,国金证券股份有限公司,刘昊拓&sbquo;姜文国,北京市君泽君律师事务所,赵世焰&sbquo;陶修明,立信会计师事务所(特殊普通合伙),裘小燕&sbquo;刘国荣,是,非金属矿物制品业,2017/2/23,80204915,AN201703210425317796,国金证券股份有限公司,https://notice.eastmoney.com/pdffile/web/H2_AN201703210425317796_1.pdf
山东金麒麟,已通过发审会,主板企业,山东,国金证券股份有限公司,刘昊拓&sbquo;姜文国,北京市君泽君律师事务所,赵世焰&sbquo;陶修明,立信会计师事务所(特殊普通合伙),裘小燕&sbquo;刘国荣,是,非金属矿物制品业,2017/3/2,80204915,AN201703210425317796,国金证券股份有限公司,https://notice.eastmoney.com/pdffile/web/H2_AN201703210425317796_1.pdf
山东联诚精密制造,已受理,中小板,山东,中泰证券股份有限公司,钱伟&sbquo;朱艳华,北京大成律师事务所,金鑫&sbquo;柳东方&sbquo;罗丽枝,山东和信会计师事务所(特殊普通合伙),王敏敏&sbquo;孔祥勇,否,制造业,2017/1/5,80509333,AN201712121065686565,中泰证券股份有限公司,https://notice.eastmoney.com/pdffile/web/H2_AN201712121065686565_1.pdf
山东联诚精密制造,已反馈,中小板,山东,中泰证券股份有限公司,钱伟&sbquo;朱艳华,北京大成律师事务所,金鑫&sbquo;柳东方&sbquo;罗丽枝,山东和信会计师事务所(特殊普通合伙),王敏敏&sbquo;孔祥勇,否,制造业,2017/3/2,80509333,AN201712121065686565,中泰证券股份有限公司,https://notice.eastmoney.com/pdffile/web/H2_AN201712121065686565_1.pdf
山东联诚精密制造,预先披露更新,中小板,山东,中泰证券股份有限公司,钱伟&sbquo;朱艳华,北京大成律师事务所,金鑫&sbquo;柳东方&sbquo;罗丽枝,山东和信会计师事务所(特殊普通合伙),王敏敏&sbquo;孔祥勇,是,制造业,2017/10/12,80509333,AN201712121065686565,中泰证券股份有限公司,https://notice.eastmoney.com/pdffile/web/H2_AN201712121065686565_1.pdf
山东联诚精密制造,已通过发审会,中小板,山东,中泰证券股份有限公司,钱伟&sbquo;朱艳华,北京大成律师事务所,金鑫&sbquo;柳东方&sbquo;罗丽枝,山东和信会计师事务所(特殊普通合伙),王敏敏&sbquo;孔祥勇,是,制造业,2017/11/16,80509333,AN201712121065686565,中泰证券股份有限公司,https://notice.eastmoney.com/pdffile/web/H2_AN201712121065686565_1.pdf
山东联科科技,已受理,中小板,,广发证券股份有限公司,,上海泽昌律师事务所,,永拓会计师事务所(特殊普通合伙),,否,,2020/6/18,80311550,AN202012111439208074,广发证券股份有限公司,https://notice.eastmoney.com/pdffile/web/H2_AN202012111439208074_1.pdf
山东联科科技,已反馈,中小板,,广发证券股份有限公司,,上海泽昌律师事务所,,永拓会计师事务所(特殊普通合伙),,否,,2020/7/16,80311550,AN202012111439208074,广发证券股份有限公司,https://notice.eastmoney.com/pdffile/web/H2_AN202012111439208074_1.pdf
