机构名称,当前状态,上市地点,拟发行数量,申报日期,上会日期,申购日期,上市日期,主承销商,承销方式,9,发行前总股本,发行后总股本,13,占发行后总股本比例,发审委委员,网站,公司代码,yyy,时间戳,简称,详情链接,文件链接
甘肃国芳工贸（集团）,上会通过,上交所,160000000,2015/12/17,2017/2/27,2017/9/20,2017/9/29,西南证券,余额包销,1,666000000,826000000,488000000,0.1937,姜业清&sbquo;郭洪俊&sbquo;梁锋&sbquo;曹茂喜&sbquo;刘振平&sbquo;陈朝晖&sbquo;李亚非,http://topic.eastmoney.com/gsgf/,80357619,23632,AN201512170012164290,国芳集团,data.eastmoney.com/xg/gh/detail/80357619.html,https://notice.eastmoney.com/pdffile/web/H2_AN201512170012164290_1.pdf
海尔施生物医药,上会通过,上交所,69000000,2015/12/17,2016/3/9,,,瑞信方正证券,余额包销,1,207000000,276000000,1380277200,0.25,操舰&sbquo;朱毅&sbquo;吴钧&sbquo;刘志强&sbquo;刘燊&sbquo;邱永红&sbquo;朱国光,http://topic.eastmoney.com/hesswyy/,80357621,23881,AN201512170012164293,海尔施,data.eastmoney.com/xg/gh/detail/80357621.html,https://notice.eastmoney.com/pdffile/web/H2_AN201512170012164293_1.pdf
广东超讯通信技术,上会通过,上交所,20000000,2015/12/17,2016/1/27,2016/7/18,2016/7/28,恒泰长财证券,余额包销,1,156520000,176520000,272154400,0.1133,姜业清&sbquo;郭洪俊&sbquo;梁锋&sbquo;曹茂喜&sbquo;刘振平&sbquo;陈朝晖&sbquo;李亚非,http://topic.eastmoney.com/CXJS2014/,80329978,23984,AN201512170012164295,超讯通信,data.eastmoney.com/xg/gh/detail/80329978.html,https://notice.eastmoney.com/pdffile/web/H2_AN201512170012164295_1.pdf
宁波海天精工,上会通过,上交所,52200000,2015/12/17,2016/1/20,2016/10/25,2016/11/7,中信证券,余额包销,1,522000000,574200000,414200000,0.09091,操舰&sbquo;朱毅&sbquo;颜志元&sbquo;吴钧&sbquo;刘燊&sbquo;刘志强&sbquo;梁锋,http://topic.eastmoney.com/NBHTJGIPO/,80329955,23325,AN201512170012164292,海天精工,data.eastmoney.com/xg/gh/detail/80329955.html,https://notice.eastmoney.com/pdffile/web/H2_AN201512170012164292_1.pdf
无锡新宏泰电器科技,上会通过,上交所,37050000,2015/12/17,2016/1/6,2016/6/21,2016/7/1,东海证券,余额包销,1,148160000,185210000,290152000,0.20004,朱毅&sbquo;操舰&sbquo;吴钧&sbquo;刘志强&sbquo;刘燊&sbquo;郭洪俊&sbquo;梁锋,http://topic.eastmoney.com/XHTDQKJ2014/,80329965,23875,AN201512170012164289,新宏泰,data.eastmoney.com/xg/gh/detail/80329965.html,https://notice.eastmoney.com/pdffile/web/H2_AN201512170012164289_1.pdf
上海银行,上会通过,上交所,1200000000,2015/12/17,2015/12/30,2016/11/2,2016/11/16,国泰君安证券,余额包销,1,14206528700,15406528700,0,0.07789,郭洪俊&sbquo;曹茂喜&sbquo;刘振平&sbquo;姜业清&sbquo;李亚非&sbquo;陈朝晖&sbquo;梁锋,http://topic.eastmoney.com/SHYH2014/,80001256,23985,AN201512170012164294,上海银行,data.eastmoney.com/xg/gh/detail/80001256.html,https://notice.eastmoney.com/pdffile/web/H2_AN201512170012164294_1.pdf
杭州银行,上会通过,上交所,600000000,2015/12/17,2015/12/30,2016/10/14,2016/10/27,中国国际金融证券,余额包销,1,5930200432,6530200432,0,0.09188,朱毅&sbquo;吴钧&sbquo;刘燊&sbquo;栗皓&sbquo;颜志元&sbquo;刘志强&sbquo;操舰,http://topic.eastmoney.com/hzyh/,80058614,23980,AN201512170012164291,杭州银行,data.eastmoney.com/xg/gh/detail/80058614.html,https://notice.eastmoney.com/pdffile/web/H2_AN201512170012164291_1.pdf
湖北振华化学,上会通过,上交所,55000000,2015/12/9,2016/1/20,2016/9/1,2016/9/13,长江证券,余额包销,1,220000000,275000000,465460000,0.2,姜业清&sbquo;郭洪俊&sbquo;梁锋&sbquo;曹茂喜&sbquo;陈朝晖&sbquo;李亚非&sbquo;刘振平,http://topic.eastmoney.com/HBZHHXIPO/,80202301,23806,AN201512090011907633,振华股份,data.eastmoney.com/xg/gh/detail/80202301.html,https://notice.eastmoney.com/pdffile/web/H2_AN201512090011907633_1.pdf
中国科技出版传媒,上会通过,上交所,300000000,2015/12/1,2016/11/23,2017/1/6,2017/1/18,中银国际证券,余额包销,1,790500000,1090500000,834097700,0.2751,姜业清&sbquo;郭洪俊&sbquo;梁锋&sbquo;曹茂喜&sbquo;刘振平&sbquo;邱永红&sbquo;李亚非,http://topic.eastmoney.com/ZGKJCBCM/,80279477,23940,AN201512010011658032,中国科传,data.eastmoney.com/xg/gh/detail/80279477.html,https://notice.eastmoney.com/pdffile/web/H2_AN201512010011658032_1.pdf
海利尔药业集团,上会通过,上交所,30000000,2015/11/27,2016/11/30,2016/12/30,2017/1/12,广发证券,余额包销,1,120000000,150000000,672081300,0.2,朱毅&sbquo;操舰&sbquo;刘志强&sbquo;刘燊&sbquo;吴钧&sbquo;颜志元&sbquo;林勇峰,http://topic.eastmoney.com/hle/,80133716,23724,AN201511270011602573,海利尔,data.eastmoney.com/xg/gh/detail/80133716.html,https://notice.eastmoney.com/pdffile/web/H2_AN201511270011602573_1.pdf
宁波天龙电子,上会通过,上交所,25000000,2015/11/27,2016/5/18,2016/12/28,2017/1/10,瑞银证券,余额包销,1,75000000,100000000,343760000,0.25,朱毅&sbquo;操舰&sbquo;刘志强&sbquo;刘燊&sbquo;邱永红&sbquo;颜志元&sbquo;曹茂喜,http://topic.eastmoney.com/tldz/,80282270,23628,AN201511270011602572,天龙股份,data.eastmoney.com/xg/gh/detail/80282270.html,https://notice.eastmoney.com/pdffile/web/H2_AN201511270011602572_1.pdf
郑州安图生物工程,上会通过,上交所,42000000,2015/11/27,2016/3/23,2016/8/19,2016/9/1,招商证券,余额包销,1,420000000,462000000,882233100,0.09091,朱国光&sbquo;储钢汉&sbquo;栗皓&sbquo;邱永红&sbquo;张永卫&sbquo;杨金忠&sbquo;姜业清,http://topic.eastmoney.com/atsw/,80357637,23737,AN201511270011602545,安图生物,data.eastmoney.com/xg/gh/detail/80357637.html,https://notice.eastmoney.com/pdffile/web/H2_AN201511270011602545_1.pdf
新华文轩出版传媒,上会通过,上交所,98710000,2015/11/27,2016/1/6,2016/7/27,2016/8/8,中银国际证券,余额包销,1,1233841000,1332551000,1180000000,0.07408,朱国光&sbquo;储钢汉&sbquo;栗皓&sbquo;张永卫&sbquo;林勇峰&sbquo;邱永红&sbquo;杨金忠,http://topic.eastmoney.com/xhwx/,80096445,23368,AN201511270011602551,新华文轩,data.eastmoney.com/xg/gh/detail/80096445.html,https://notice.eastmoney.com/pdffile/web/H2_AN201511270011602551_1.pdf
三棵树涂料,上会通过,上交所,25000000,2015/11/27,2015/12/16,2016/5/23,2016/6/3,中信证券,余额包销,1,268883918,293883918,335339100,0.08507,储钢汉&sbquo;朱国光&sbquo;林勇峰&sbquo;张永卫&sbquo;栗皓&sbquo;杨金忠&sbquo;陈朝晖,http://topic.eastmoney.com/skstl/,80205029,23865,AN201511270011602564,三棵树,data.eastmoney.com/xg/gh/detail/80205029.html,https://notice.eastmoney.com/pdffile/web/H2_AN201511270011602564_1.pdf
上海沪工焊接集团,上会通过,上交所,25000000,2015/11/27,2015/12/16,2016/5/26,2016/6/7,广发证券,余额包销,1,317974252,342974252,265658400,0.07289,朱国光&sbquo;储钢汉&sbquo;林勇峰&sbquo;张永卫&sbquo;栗皓&sbquo;杨金忠&sbquo;邱永红,http://topic.eastmoney.com/hghjjt2014/,80206084,23621,AN201511270011602548,上海沪工,data.eastmoney.com/xg/gh/detail/80206084.html,https://notice.eastmoney.com/pdffile/web/H2_AN201511270011602548_1.pdf
真彩文具,未上会,上交所,55000000,2015/11/25,,,,招商证券,余额包销,1,165000000,220000000,405868200,0.25,,http://topic.eastmoney.com/zcwj/,80329970,23582,AN201511250011550271,真彩文具,data.eastmoney.com/xg/gh/detail/80329970.html,https://notice.eastmoney.com/pdffile/web/H2_AN201511250011550271_1.pdf
江苏花王园艺,上会通过,上交所,33350000,2015/11/24,2016/1/27,2016/8/12,2016/8/26,中泰证券,余额包销,1,337093800,370443800,379812700,0.09003,操舰&sbquo;朱毅&sbquo;吴钧&sbquo;刘志强&sbquo;刘燊&sbquo;颜志元&sbquo;张永卫,http://topic.eastmoney.com/hwyy/,80202161,23735,AN201511240011519914,花王股份,data.eastmoney.com/xg/gh/detail/80202161.html,https://notice.eastmoney.com/pdffile/web/H2_AN201511240011519914_1.pdf
三祥新材,上会通过,上交所,33550000,2015/11/24,2016/1/20,2016/7/19,2016/8/1,浙商证券,余额包销,1,189991704,223541704,146270800,0.15008,朱毅&sbquo;操舰&sbquo;颜志元&sbquo;吴钧&sbquo;刘志强&sbquo;刘燊&sbquo;刘振平,http://topic.eastmoney.com/sxxc/,80329958,23419,AN201511240011519915,三祥新材,data.eastmoney.com/xg/gh/detail/80329958.html,https://notice.eastmoney.com/pdffile/web/H2_AN201511240011519915_1.pdf
合诚工程咨询,上会通过,上交所,25000000,2015/11/24,2015/12/23,2016/6/16,2016/6/28,民生证券,余额包销,1,100000000,125000000,222784500,0.2,朱毅&sbquo;操舰&sbquo;吴钧&sbquo;刘志强&sbquo;刘燊&sbquo;李亚非&sbquo;邱永红,http://topic.eastmoney.com/hcgc/,80014055,23277,AN201511240011519916,合诚股份,data.eastmoney.com/xg/gh/detail/80014055.html,https://notice.eastmoney.com/pdffile/web/H2_AN201511240011519916_1.pdf
厦门吉比特网络技术,上会通过,上交所,20780000,2015/11/23,2016/6/15,2016/12/22,2017/1/4,华融证券,余额包销,1,71170525,91950525,987335800,0.22599,朱国光&sbquo;储钢汉&sbquo;李亚非&sbquo;林勇峰&sbquo;张永卫&sbquo;陈朝晖&sbquo;杨金忠,http://topic.eastmoney.com/jbtwl/,80288399,23701,AN201511230011500698,吉比特,data.eastmoney.com/xg/gh/detail/80288399.html,https://notice.eastmoney.com/pdffile/web/H2_AN201511230011500698_1.pdf
上海城地建设,上会通过,上交所,24600000,2015/11/23,2016/4/6,2016/9/21,2016/10/10,华创证券,余额包销,1,375580271,400180271,342464300,0.06147,郭洪俊&sbquo;曹茂喜&sbquo;陈朝晖&sbquo;刘振平&sbquo;梁锋&sbquo;李亚非&sbquo;栗皓,http://topic.eastmoney.com/shzdjsipo/,80357750,23425,AN201511230011500697,城地香江,data.eastmoney.com/xg/gh/detail/80357750.html,https://notice.eastmoney.com/pdffile/web/H2_AN201511230011500697_1.pdf
南通四方冷链装备,上会通过,上交所,51700000,2015/11/23,2015/12/9,2016/5/6,2016/5/19,广发证券,余额包销,1,206800000,258500000,465040000,0.2,朱毅&sbquo;操舰&sbquo;吴钧&sbquo;邱永红&sbquo;刘燊&sbquo;颜志元&sbquo;刘志强,http://topic.eastmoney.com/sfllzb2014/,80329954,23623,AN201511230011500696,四方科技,data.eastmoney.com/xg/gh/detail/80329954.html,https://notice.eastmoney.com/pdffile/web/H2_AN201511230011500696_1.pdf
湖南金叶众望科技,未上会,上交所,53000000,2015/11/23,,,,摩根士丹利华鑫证券,余额包销,1,159000000,212000000,263560000,0.25,,http://topic.eastmoney.com/jyzwkj/,80357623,23872,AN201511230011500693,金叶股份,data.eastmoney.com/xg/gh/detail/80357623.html,https://notice.eastmoney.com/pdffile/web/H2_AN201511230011500693_1.pdf
广州富力地产,未上会,上交所,1070000000,2015/11/13,,,,招商证券,余额包销,0.25,3222367344,4292367344,35000000000,0.24928,,http://topic.eastmoney.com/GZFLDCIPO/,10002327,30108,AN201511130011401616,富力地产,data.eastmoney.com/xg/gh/detail/10002327.html,https://notice.eastmoney.com/pdffile/web/H2_AN201511130011401616_1.pdf
嘉宝莉化工集团,未上会,上交所,40000000,2015/11/13,,,,招商证券,余额包销,1,360000000,400000000,536525300,0.1,,,80122897,30155,AN201511130011407613,嘉宝莉,data.eastmoney.com/xg/gh/detail/80122897.html,https://notice.eastmoney.com/pdffile/web/H2_AN201511130011407613_1.pdf
广东粤新海洋工程装备,未上会,上交所,76670000,2015/11/13,,,,齐鲁证券,余额包销,1,230000000,306670000,522400000,0.25001,,,80147591,30105,AN201511130011401624,粤新装备,data.eastmoney.com/xg/gh/detail/80147591.html,https://notice.eastmoney.com/pdffile/web/H2_AN201511130011401624_1.pdf
大连万达商业地产,未上会,上交所,250000000,2015/11/13,,,,中国银河证券,余额包销,1,4527347600,4777347600,12000000000,0.05233,,http://topic.eastmoney.com/wdstIPO/,80161192,30150,AN201511130011407869,大连万达,data.eastmoney.com/xg/gh/detail/80161192.html,https://notice.eastmoney.com/pdffile/web/H2_AN201511130011407869_1.pdf
上海来伊份,上会通过,上交所,60000000,2015/7/3,2016/3/30,2016/9/23,2016/10/12,中信建投证券,余额包销,1,337132088,397132088,674070000,0.15108,储钢汉&sbquo;朱国光&sbquo;栗皓&sbquo;张永卫&sbquo;邱永红&sbquo;杨金忠&sbquo;梁锋,http://topic.eastmoney.com/lyf2012/,80198812,23151,AN201507030010111227,来伊份,data.eastmoney.com/xg/gh/detail/80198812.html,https://notice.eastmoney.com/pdffile/web/H2_AN201507030010111227_1.pdf
北京兆易创新科技,上会通过,上交所,25000000,2015/7/3,2016/3/2,2016/8/8,2016/8/18,申万宏源证券,余额包销,1,100000000,125000000,516529300,0.2,朱毅&sbquo;操舰&sbquo;吴钧&sbquo;刘志强&sbquo;刘燊&sbquo;张永卫&sbquo;杨金忠,http://topic.eastmoney.com/yzcxkj2014/,80357731,23402,AN201507030010111224,兆易创新,data.eastmoney.com/xg/gh/detail/80357731.html,https://notice.eastmoney.com/pdffile/web/H2_AN201507030010111224_1.pdf
徽商银行,未上会,上交所,1228000000,2015/7/3,,,,中信证券,余额包销,1,11049819283,12277819283,0,0.10002,,,80070821,28258,AN201507030010110567,徽商银行,data.eastmoney.com/xg/gh/detail/80070821.html,https://notice.eastmoney.com/pdffile/web/H2_AN201507030010110567_1.pdf
南京磐能电力科技,未上会,上交所,16670000,2015/7/3,,,,国金证券,余额包销,1,50000000,66670000,202664000,0.25004,,,80134592,28222,AN201507030010110563,磐能科技,data.eastmoney.com/xg/gh/detail/80134592.html,https://notice.eastmoney.com/pdffile/web/H2_AN201507030010110563_1.pdf
北京光耀能源技术,未上会,上交所,20000000,2015/7/3,,,,海通证券,余额包销,1,60000000,80000000,226940400,0.25,,,80153110,28220,AN201507030010110589,光耀能源,data.eastmoney.com/xg/gh/detail/80153110.html,https://notice.eastmoney.com/pdffile/web/H2_AN201507030010110589_1.pdf
广东东江畜牧,未上会,上交所,50000000,2015/7/3,,,,招商证券,余额包销,1,150000000,200000000,407225000,0.25,,,80336077,28262,AN201507030010110585,东江畜牧,data.eastmoney.com/xg/gh/detail/80336077.html,https://notice.eastmoney.com/pdffile/web/H2_AN201507030010110585_1.pdf
新疆宝地矿业,未上会,上交所,67000000,2015/7/3,,,,中银国际证券,余额包销,1,600000000,667000000,235764100,0.10045,,,80439279,28230,AN201507030010110557,宝地矿业,data.eastmoney.com/xg/gh/detail/80439279.html,https://notice.eastmoney.com/pdffile/web/H2_AN201507030010110557_1.pdf
勇猛机械,未上会,上交所,40000000,2015/7/3,,,,中信证券,余额包销,1,120000000,160000000,744866200,0.25,,,80439283,28225,AN201507030010110556,勇猛机械,data.eastmoney.com/xg/gh/detail/80439283.html,https://notice.eastmoney.com/pdffile/web/H2_AN201507030010110556_1.pdf
江苏河马井,未上会,上交所,28400000,2015/7/3,,,,安信证券,余额包销,1,85200000,113600000,219871000,0.25,,,80439285,28253,AN201507030010110566,河马井,data.eastmoney.com/xg/gh/detail/80439285.html,https://notice.eastmoney.com/pdffile/web/H2_AN201507030010110566_1.pdf
湖北泰晶电子科技,上会通过,上交所,16680000,2015/7/1,2016/5/25,2016/9/14,2016/9/28,长城证券,余额包销,1,113356000,130036000,235520000,0.12827,朱毅&sbquo;操舰&sbquo;吴钧&sbquo;刘志强&sbquo;颜志元&sbquo;刘燊&sbquo;邱永红,http://topic.eastmoney.com/hbtjdzkjipo/,80205603,23629,AN201507010010084025,泰晶科技,data.eastmoney.com/xg/gh/detail/80205603.html,https://notice.eastmoney.com/pdffile/web/H2_AN201507010010084025_1.pdf
上海网达软件,上会通过,上交所,55200000,2015/7/1,2016/1/27,2016/9/2,2016/9/14,兴业证券,余额包销,1,220800000,276000000,810190000,0.2,郭洪俊&sbquo;姜业清&sbquo;曹茂喜&sbquo;刘振平&sbquo;陈朝晖&sbquo;李亚非&sbquo;梁锋,http://topic.eastmoney.com/wdrjgf/,80350246,23437,AN201507010010084022,网达软件,data.eastmoney.com/xg/gh/detail/80350246.html,https://notice.eastmoney.com/pdffile/web/H2_AN201507010010084022_1.pdf
哈森商贸（中国）,上会通过,上交所,54360000,2015/7/1,2015/12/30,2016/6/17,2016/6/29,长江证券,余额包销,1,217360000,271720000,449177100,0.20006,操舰&sbquo;朱毅&sbquo;吴钧&sbquo;刘燊&sbquo;颜志元&sbquo;刘志强&sbquo;陈朝晖,http://topic.eastmoney.com/hssm/,80289545,23630,AN201507010010084027,哈森股份,data.eastmoney.com/xg/gh/detail/80289545.html,https://notice.eastmoney.com/pdffile/web/H2_AN201507010010084027_1.pdf
贵阳银行,上会通过,上交所,500000000,2015/7/1,2015/12/23,2016/8/4,2016/8/16,中信建投证券,余额包销,1,3218028660,3718028660,0,0.13448,朱国光&sbquo;储钢汉&sbquo;张永卫&sbquo;栗皓&sbquo;林勇峰&sbquo;杨金忠&sbquo;邱永红,http://topic.eastmoney.com/GYYHIPO/,80046299,23977,AN201507010010084021,贵阳银行,data.eastmoney.com/xg/gh/detail/80046299.html,https://notice.eastmoney.com/pdffile/web/H2_AN201507010010084021_1.pdf
北京派特罗尔油田服务股份公司,未上会,上交所,100000000,2015/7/1,,,,中信建投证券,余额包销,1,300000000,400000000,1399553700,0.25,,http://topic.eastmoney.com/ptleyt/,80328527,23605,AN201507010010084028,派特罗尔,data.eastmoney.com/xg/gh/detail/80328527.html,https://notice.eastmoney.com/pdffile/web/H2_AN201507010010084028_1.pdf
浙商证券,上会通过,上交所,500000000,2015/6/29,2017/5/2,2017/6/13,2017/6/26,瑞银证券,余额包销,1,3614044514,4114044514,0,0.12153,郭洪俊&sbquo;陈朝晖&sbquo;朱毅&sbquo;刘燊&sbquo;刘振平&sbquo;梁锋&sbquo;李亚非,http://topic.eastmoney.com/ZSZQ2014/,80000206,23820,AN201506290010050820,浙商证券,data.eastmoney.com/xg/gh/detail/80000206.html,https://notice.eastmoney.com/pdffile/web/H2_AN201506290010050820_1.pdf
新华网,上会通过,上交所,51902936,2015/6/29,2016/4/20,2016/10/18,2016/10/28,中国国际金融证券,余额包销,1,207611744,259514680,1497339900,0.2,郭洪俊&sbquo;姜业清&sbquo;梁锋&sbquo;曹茂喜&sbquo;刘振平&sbquo;陈朝晖&sbquo;李亚非,http://topic.eastmoney.com/XHWIPO/,80092668,23907,AN201506290010050824,新华网,data.eastmoney.com/xg/gh/detail/80092668.html,https://notice.eastmoney.com/pdffile/web/H2_AN201506290010050824_1.pdf
欧普照明,上会通过,上交所,58000000,2015/6/29,2016/3/9,2016/8/9,2016/8/19,中信证券,余额包销,1,754695722,812695722,1204446600,0.07137,郭洪俊&sbquo;姜业清&sbquo;梁锋&sbquo;刘振平&sbquo;陈朝晖&sbquo;李亚非&sbquo;曹茂喜,http://topic.eastmoney.com/OPZMIPO/,80357628,23369,AN201506290010050827,欧普照明,data.eastmoney.com/xg/gh/detail/80357628.html,https://notice.eastmoney.com/pdffile/web/H2_AN201506290010050827_1.pdf
上海电影,上会通过,上交所,93500000,2015/6/29,2015/12/30,2016/8/5,2016/8/17,中国国际金融证券,余额包销,1,373500000,467000000,908290000,0.20021,朱国光&sbquo;储钢汉&sbquo;林勇峰&sbquo;邱永红&sbquo;杨金忠&sbquo;曹茂喜&sbquo;栗皓,http://topic.eastmoney.com/shdy/,80370115,23124,AN201506290010050826,上海电影,data.eastmoney.com/xg/gh/detail/80370115.html,https://notice.eastmoney.com/pdffile/web/H2_AN201506290010050826_1.pdf
浙江嘉澳环保科技,上会通过,上交所,18350000,2015/6/29,2015/12/2,2016/4/18,2016/4/28,安信证券,余额包销,1,73350000,91700000,300180000,0.20011,操舰&sbquo;朱毅&sbquo;吴钧&sbquo;刘志强&sbquo;刘燊&sbquo;颜志元&sbquo;刘振平,http://topic.eastmoney.com/jahbkj/,80168123,23736,AN201506290010050823,嘉澳环保,data.eastmoney.com/xg/gh/detail/80168123.html,https://notice.eastmoney.com/pdffile/web/H2_AN201506290010050823_1.pdf
浙江朗迪集团,上会通过,上交所,23680000,2015/6/29,2015/11/25,2016/4/11,2016/4/21,中国中投证券,余额包销,1,94720000,118400000,231900000,0.2,朱国光&sbquo;储钢汉&sbquo;张永卫&sbquo;林勇峰&sbquo;杨金忠&sbquo;栗皓&sbquo;邱永红,http://topic.eastmoney.com/zjldjt/,80315822,23235,AN201506290010050822,朗迪集团,data.eastmoney.com/xg/gh/detail/80315822.html,https://notice.eastmoney.com/pdffile/web/H2_AN201506290010050822_1.pdf
