机构名称,类型,板块,注册地,保荐机构,保荐代表人,律师事务所,签字律师,会计师事务所,签字会计师,是否提交财务自查报告,所属行业,日期,xxx,时间戳,简称,文件链接
安徽马鞍山农村商业银行,已反馈,中小板,安徽,中信证券股份有限公司,赵文丛&sbquo;宋永新,上海市锦天城律师事务所,杨海峰&sbquo;张目强,立信会计师事务所(特殊普通合伙),孙晓爽&sbquo;杨俊玉,是,货币金融服务,2018/11/22,80071837,AN201909051349082578,ahmasncsyyx,https://notice.eastmoney.com/pdffile/web/H2_AN201909051349082578_1.pdf
安徽省交通建设,已反馈,主板企业,安徽,国元证券股份有限公司,梁化彬&sbquo;刘晋华,安徽天禾律师事务所,张晓健&sbquo;李刚&sbquo;曹禹,华普天健会计师事务所(特殊普通合伙),王静&sbquo;黄敬臣&sbquo;屠灿,是,土木工程建筑业,2018/11/22,80138809,AN201909101353442490,ahsjtjs,https://notice.eastmoney.com/pdffile/web/H2_AN201909101353442490_1.pdf
安徽扬子地板,中止审查,中小板,安徽,国元证券股份有限公司,魏韫新&sbquo;王钢,北京金诚同达律师事务所,刘胤宏&sbquo;李红&sbquo;郑素文,华普天健会计师事务所(特殊普通合伙),张全心&sbquo;施琪璋&sbquo;朱浩,是,木材加工和木、竹、藤、棕、草制品业,2018/11/22,80203593,AN201712221069467023,ahyzdb,https://notice.eastmoney.com/pdffile/web/H2_AN201712221069467023_1.pdf
爱玛科技集团,已反馈,主板企业,天津,中信证券股份有限公司,栾培强&sbquo;秦国安,北京海润天睿律师事务所,杨雪&sbquo;王彩虹&sbquo;李爱清,安永华明会计师事务所(特殊普通合伙),张炯&sbquo;曹绮冰,是,铁路、船舶、航空航天和其他运输设备制造业,2018/11/22,80922526,AN201909051349082580,amkjjt,https://notice.eastmoney.com/pdffile/web/H2_AN201909051349082580_1.pdf
奥美医疗用品,预先披露更新,中小板,湖北,中信证券股份有限公司,李永柱&sbquo;史松祥,北京市嘉源律师事务所,文梁娟&sbquo;韦佩,立信会计师事务所(特殊普通合伙),李璟&sbquo;张金华,是,专用设备制造业,2018/11/22,80718110,AN201902251299927781,amylyp,https://notice.eastmoney.com/pdffile/web/H2_AN201902251299927781_1.pdf
奥普家居,已反馈,主板企业,浙江,招商证券股份有限公司,张阳&sbquo;凌江红,上海市方达律师事务所,马强&sbquo;邱晨盛,天健会计师事务所(特殊普通合伙),叶卫民&sbquo;李锟,是,电气机械和器材制造业,2018/11/22,80703659,AN201912311373100120,apjj,https://notice.eastmoney.com/pdffile/web/H2_AN201912311373100120_1.pdf
北大青鸟环宇消防设备,已通过发审会,中小板,河北,广发证券股份有限公司,徐海林&sbquo;杜俊涛,北京市中咨律师事务所,蒋红毅&sbquo;彭亚峰,瑞华会计师事务所(特殊普通合伙),徐超玉&sbquo;李建长,是,计算机、通信和其他电子设备制造业,2018/11/22,80069208,AN201907281341526272,bdqnhyxfsb,https://notice.eastmoney.com/pdffile/web/H2_AN201907281341526272_1.pdf
八方电气(苏州),已反馈,主板企业,江苏,申万宏源证券承销保荐有限责任公司,王鹏&sbquo;黄学圣,国浩律师(上海)事务所,徐晨&sbquo;马敏英&sbquo;高菲,华普天健会计师事务所(特殊普通合伙),施琪璋&sbquo;李飞,是,电气机械和器材制造业,2018/11/22,80922529,AN201910071368140489,bfdqsz,https://notice.eastmoney.com/pdffile/web/H2_AN201910071368140489_1.pdf
北京国联视讯信息技术,预先披露更新,主板企业,北京,西部证券股份有限公司,李超&sbquo;张锡锋,北京德恒律师事务所,孙艳利&sbquo;齐欣,立信会计师事务所(特殊普通合伙),郭健&sbquo;王晓燕,是,互联网和相关服务,2018/11/22,80400473,AN201907171339063966,bjglsxxxjs,https://notice.eastmoney.com/pdffile/web/H2_AN201907171339063966_1.pdf
北京嘉曼服饰,预先披露更新,中小板,北京,华英证券有限责任公司,宋卓&sbquo;吴春玲,北京市中伦律师事务所,陈益文&sbquo;彭林,立信会计师事务所(特殊普通合伙),冯万奇&sbquo;李福兴,是,纺织服装、服饰业,2018/11/22,80897656,AN202012311445940120,bjjmfs,https://notice.eastmoney.com/pdffile/web/H2_AN202012311445940120_1.pdf
北京万泰生物药业,已受理,主板企业,北京,国金证券股份有限公司,唐蕾&sbquo;朱国民,北京市中伦律师事务所,孙为&sbquo;张迪,瑞华会计师事务所(特殊普通合伙),杨敢林&sbquo;张莉萍,是,医药制造业,2018/11/22,80146009,AN202004141377938813,bjwtswyy,https://notice.eastmoney.com/pdffile/web/H2_AN202004141377938813_1.pdf
