机构名称,类型,板块,注册地,保荐机构,保荐代表人,律师事务所,签字律师,会计师事务所,签字会计师,是否提交财务自查报告,所属行业,日期,xxx,时间戳,简称,文件链接
安徽华塑,已受理,主板企业,,国元证券股份有限公司,,安徽天禾律师事务所,,容诚会计师事务所(特殊普通合伙),,否,,2020/5/14,80168834,AN202010141421367106,ahhs,https://notice.eastmoney.com/pdffile/web/H2_AN202010141421367106_1.pdf
安徽马鞍山农村商业银行,预先披露更新,中小板,,中信证券股份有限公司,,上海市锦天城律师事务所,,立信会计师事务所(特殊普通合伙),,是,,2020/5/14,80071837,AN201909051349082578,ahmasncsyyx,https://notice.eastmoney.com/pdffile/web/H2_AN201909051349082578_1.pdf
爱玛科技集团,预先披露更新,主板企业,,中信证券股份有限公司,,北京海润天睿律师事务所,,安永华明会计师事务所(特殊普通合伙),,是,,2020/5/14,80922526,AN201909051349082580,amkjjt,https://notice.eastmoney.com/pdffile/web/H2_AN201909051349082580_1.pdf
奥锐特药业,预先披露更新,主板企业,,安信证券股份有限公司,,国浩律师(杭州)事务所,,天健会计师事务所(特殊普通合伙),,是,,2020/5/14,80994682,AN202009081409075876,artyy,https://notice.eastmoney.com/pdffile/web/H2_AN202009081409075876_1.pdf
北大荒垦丰种业,已反馈,主板企业,,中国银河证券股份有限公司,,北京市中伦律师事务所,,大信会计师事务所(特殊普通合伙),,是,,2020/5/14,80364320,AN201906281336805655,bdhkfzy,https://notice.eastmoney.com/pdffile/web/H2_AN201906281336805655_1.pdf
北京城建设计发展集团,已反馈,主板企业,,中信证券股份有限公司,,北京市海问律师事务所,,安永华明会计师事务所(特殊普通合伙,,是,,2020/5/14,80374117,AN201906281336804639,bjcjsjfzjt,https://notice.eastmoney.com/pdffile/web/H2_AN201906281336804639_1.pdf
北京竞业达数码科技,预先披露更新,中小板,,国金证券股份有限公司,,北京市中伦律师事务所,,信永中和会计师事务所(特殊普通合伙),,是,,2020/5/14,80994898,AN202009081409497044,bjjydsmkj,https://notice.eastmoney.com/pdffile/web/H2_AN202009081409497044_1.pdf
北京全时天地在线网络信息,已通过发审会,中小板,,民生证券股份有限公司,,北京观韬中茂律师事务所,,天职国际会计师事务所(特殊普通合伙),,是,,2020/5/14,80629832,AN202007191392778639,bjqstdzxwlxx,https://notice.eastmoney.com/pdffile/web/H2_AN202007191392778639_1.pdf
北京声迅电子,预先披露更新,中小板,,西部证券股份有限公司,,北京市康达律师事务所,,北京永拓会计师事务所(特殊普通合伙),,是,,2020/5/14,80126294,AN202011151429458991,bjsxdz,https://notice.eastmoney.com/pdffile/web/H2_AN202011151429458991_1.pdf
北京新时空科技,预先披露更新,主板企业,,中信建投证券股份有限公司,,北京市康达律师事务所,,大华会计师事务所(特殊普通合伙),,是,,2020/5/14,80631213,AN202008071396832660,bjxskkj,https://notice.eastmoney.com/pdffile/web/H2_AN202008071396832660_1.pdf
北京正和恒基滨水生态环境治理,已反馈,主板企业,,招商证券股份有限公司,,北京德恒律师事务所,,天健会计师事务所(普通特殊合伙),,是,,2020/5/14,80278535,AN202007101390797607,bjzhhjbssthjzl,https://notice.eastmoney.com/pdffile/web/H2_AN202007101390797607_1.pdf
