机构名称,类型,板块,注册地,保荐机构,保荐代表人,律师事务所,签字律师,会计师事务所,签字会计师,是否提交财务自查报告,所属行业,日期,xxx,时间戳,简称,文件链接
安徽华尔泰化工,已受理,中小板,,恒泰长财证券有限责任公司,,北京市嘉源律师事务所,,容城会计师事务所(特殊普通合伙),,否,,2020/7/9,80190582,AN202012171441055800,ahhethggfyxgs,https://notice.eastmoney.com/pdffile/web/H2_AN202012171441055800_1.pdf
安徽华塑,已反馈,主板企业,,国元证券股份有限公司,,安徽天禾律师事务所,,容诚会计师事务所(特殊普通合伙),,否,,2020/7/9,80168834,AN202010141421367106,ahhs,https://notice.eastmoney.com/pdffile/web/H2_AN202010141421367106_1.pdf
安徽马鞍山农村商业银行,预先披露更新,中小板,,中信证券股份有限公司,,上海市锦天城律师事务所,,立信会计师事务所(特殊普通合伙),,是,,2020/7/9,80071837,AN201909051349082578,ahmasncsyyx,https://notice.eastmoney.com/pdffile/web/H2_AN201909051349082578_1.pdf
安徽鑫铂铝业,已反馈,中小板,,华林证券股份有限公司,,安徽天禾律师事务所,,容诚会计师事务所(特殊普通合伙),,否,,2020/7/9,80994890,AN202101281455501465,ahxbly,https://notice.eastmoney.com/pdffile/web/H2_AN202101281455501465_1.pdf
爱慕股份,已受理,主板企业,,中信建投证券股份有限公司,,北京市金杜律师事务所,,立信会计师事务所(特殊普通合伙),,否,,2020/7/9,80740603,AN202012031436320512,amgf,https://notice.eastmoney.com/pdffile/web/H2_AN202012031436320512_1.pdf
爱玛科技集团,预先披露更新,主板企业,,中信证券股份有限公司,,北京海润天睿律师事务所,,安永华明会计师事务所(特殊普通合伙),,是,,2020/7/9,80922526,AN201909051349082580,amkjjt,https://notice.eastmoney.com/pdffile/web/H2_AN201909051349082580_1.pdf
奥锐特药业,预先披露更新,主板企业,,安信证券股份有限公司,,国浩律师(杭州)事务所,,天健会计师事务所(特殊普通合伙),,是,,2020/7/9,80994682,AN202009081409075876,artyy,https://notice.eastmoney.com/pdffile/web/H2_AN202009081409075876_1.pdf
北大荒垦丰种业,已反馈,主板企业,,中国银河证券股份有限公司,,北京市中伦律师事务所,,大信会计师事务所(特殊普通合伙),,是,,2020/7/9,80364320,AN201906281336805655,bdhkfzy,https://notice.eastmoney.com/pdffile/web/H2_AN201906281336805655_1.pdf
北京金房暖通节能技术,已受理,中小板,,中信建投证券股份有限公司,,北京市君合律师事务所,,天健会计师事务所(特殊普通合伙),,否,,2020/7/9,80681803,AN202102021457470315,bjjfntjnjs,https://notice.eastmoney.com/pdffile/web/H2_AN202102021457470315_1.pdf
北京竞业达数码科技,已通过发审会,中小板,,国金证券股份有限公司,,北京市中伦律师事务所,,信永中和会计师事务所(特殊普通合伙),,是,,2020/7/9,80994898,AN202009081409497044,bjjydsmkj,https://notice.eastmoney.com/pdffile/web/H2_AN202009081409497044_1.pdf
