机构名称,类型,板块,注册地,保荐机构,保荐代表人,律师事务所,签字律师,会计师事务所,签字会计师,是否提交财务自查报告,所属行业,日期,xxx,时间戳,简称,文件链接
北京聚利科技,预先披露更新,中小板,北京,东吴证券股份有限公司,庞家兴&sbquo;尹鹏,北京大成律师事务所,平云旺&sbquo;高雯&sbquo;魏星&sbquo;周华,立信会计师事务所(特殊普通合伙),陈勇波&sbquo;王娜,是,计算机、通信和其他电子设备制造业,2018/6/14,80319798,AN201710130950641057,bjjlkj,https://notice.eastmoney.com/pdffile/web/H2_AN201710130950641057_1.pdf
北京嘉曼服饰,已反馈,中小板,北京,华英证券有限责任公司,宋卓&sbquo;吴春玲,北京市中伦律师事务所,陈益文&sbquo;彭林,立信会计师事务所(特殊普通合伙),冯万奇&sbquo;李福兴,是,纺织服装、服饰业,2018/6/14,80897656,AN202012311445940120,bjjmfs,https://notice.eastmoney.com/pdffile/web/H2_AN202012311445940120_1.pdf
北京康辰药业,已通过发审会,主板企业,北京,广发证券股份有限公司,胡涛&sbquo;林焕伟,上海市方达律师事务所,蒋雪雁&sbquo;黄超,广东正中珠江会计师事务所(特殊普通合伙),熊永忠&sbquo;杨新春,是,医药制造业,2018/6/14,80451660,AN201808121177495402,bjkcyy,https://notice.eastmoney.com/pdffile/web/H2_AN201808121177495402_1.pdf
北京新兴东方航空装备,预先披露更新,中小板,北京,长江证券承销保荐有限公司,孔令瑞&sbquo;范子义,北京市康达律师事务所,娄爱东&sbquo;王华鹏&sbquo;陈昊,大华会计师事务所(特殊普通合伙),谢栋清&sbquo;周金茹,是,铁路、船舶、航空航天和其他运输设备制造业,2018/6/14,80545539,AN201808131178032971,bjxxdfhkzb,https://notice.eastmoney.com/pdffile/web/H2_AN201808131178032971_1.pdf
北京元六鸿远电子科技,预先披露更新,主板企业,北京,国泰君安证券股份有限公司,姚巍巍&sbquo;傅冠男,北京市海润律师事务所,黄浩&sbquo;陈湘玉,瑞华会计师事务所(特殊普通合伙),罗军&sbquo;崔迎,是,计算机、通信和其他电子设备制造业,2018/6/14,80644488,AN201904281323783246,bjylhydzkj,https://notice.eastmoney.com/pdffile/web/H2_AN201904281323783246_1.pdf
博纳影业集团,已反馈,中小板,新疆,华龙证券股份有限公司,王新强&sbquo;陈立浩,北京市通商律师事务所,吴刚&sbquo;杨敏,瑞华会计师事务所(特殊普通合伙),邓登峰&sbquo;刘剑华,是,广播、电视、电影和影视录音制作业,2018/6/14,80701793,AN202008241401071931,bnyyjt,https://notice.eastmoney.com/pdffile/web/H2_AN202008241401071931_1.pdf
博通集成电路(上海),预先披露更新,主板企业,上海,中信证券股份有限公司,孙洋&sbquo;王建文,上海市锦天城律师事务所,沈国权&sbquo;张知学&sbquo;程枫,立信会计师事务所(特殊普通合伙),孟荣芳&sbquo;田华&sbquo;廖君,是,计算机、通信和其他电子设备制造业,2018/6/14,80701784,AN201904011312207502,btjcdlsh,https://notice.eastmoney.com/pdffile/web/H2_AN201904011312207502_1.pdf
北洋出版传媒,预先披露更新,主板企业,河北,中国国际金融股份有限公司,马青海&sbquo;赵沛霖,北京市海问律师事务所,高巍&sbquo;杜宁,瑞华会计师事务所(特殊普通合伙),王需如&sbquo;姚欣,是,新闻和出版业,2018/6/14,80366787,AN201710130950643406,bycbcm,https://notice.eastmoney.com/pdffile/web/H2_AN201710130950643406_1.pdf
亳州药都农村商业银行,已反馈,主板企业,安徽,华泰联合证券有限责任公司,张永言&sbquo;陈嘉,北京德恒律师事务所,孙艳利&sbquo;李晓新,瑞华会计师事务所(特殊普通合伙),潘新华&sbquo;张莉萍,是,货币金融服务,2018/6/14,80147421,AN201810091209841424,bzydncsyyx,https://notice.eastmoney.com/pdffile/web/H2_AN201810091209841424_1.pdf
长城证券,已通过发审会,中小板,深圳,中信建投证券股份有限公司,赵凤滨&sbquo;邓睿,北京国枫律师事务所,孙林&sbquo;熊洁&sbquo;李霞,天职国际会计师事务所(特殊普通合伙),黎明&sbquo;陈子涵,是,资本市场服务,2018/6/14,80000082,AN201809251201455000,cczq,https://notice.eastmoney.com/pdffile/web/H2_AN201809251201455000_1.pdf
成都天奥电子,已通过发审会,中小板,四川,金元证券股份有限公司,孟灏&sbquo;孙维东,北京市天元律师事务所,刘斌&sbquo;张婕,众环海华会计师事务所(特殊普通合伙),郝国敏&sbquo;杨益明,是,计算机、通信和其他电子设备制造业,2018/6/14,80463414,AN201808211181410153,cdtadz,https://notice.eastmoney.com/pdffile/web/H2_AN201808211181410153_1.pdf
长飞光纤光缆,已通过发审会,主板企业,湖北,中国国际金融股份有限公司,姚旭东&sbquo;郭允,北京市通商律师事务所,张小满&sbquo;靳明明,毕马威华振会计师事务所(特殊普通合伙),张京京&sbquo;王婷,是,计算机、通信和其他电子设备制造业,2018/6/14,80396916,AN201807081164594338,cfgxgl,https://notice.eastmoney.com/pdffile/web/H2_AN201807081164594338_1.pdf
长华化学科技,已反馈,主板企业,江苏,中信建投证券股份有限公司,刘劭谦&sbquo;关峰,北京市万商天勤律师事务所,袁成&sbquo;高森,立信会计师事务所(特殊普通合伙),陈黎&sbquo;周月华,是,化学原料和化学制品制造业,2018/6/14,80746561,AN201712291071530799,chhxkj,https://notice.eastmoney.com/pdffile/web/H2_AN201712291071530799_1.pdf
创美药业,已反馈,中小板,广东,中信建投证券股份有限公司,翁嘉辉&sbquo;温家明,北京大成律师事务所,张清伟&sbquo;程建锋&sbquo;常健,信永中和会计师事务所(特殊普通合伙),潘传云&sbquo;王雅明,是,批发类,2018/6/14,80310798,AN201712151067027971,cmyy,https://notice.eastmoney.com/pdffile/web/H2_AN201712151067027971_1.pdf
长沙银行,已通过发审会,主板企业,湖南,中信证券股份有限公司,周宇&sbquo;金然,湖南启元律师事务所,丁少波&sbquo;邹华斌&sbquo;蔡华峰&sbquo;王乾坤,天健会计师事务所(特殊普通合伙),李永利&sbquo;黄源源,是,货币金融服务,2018/6/14,80001550,AN201808211181035123,csyx,https://notice.eastmoney.com/pdffile/web/H2_AN201808211181035123_1.pdf
长威信息科技发展,中止审查,主板企业,福建,长江证券承销保荐有限公司,朱明&sbquo;施伟,福建天衡联合律师事务所,林晖&sbquo;陈韵&sbquo;史颖仪,众华会计师事务所(特殊普通合伙),梁烽&sbquo;陈芝莲,是,软件和信息技术服务业,2018/6/14,80604133,AN202009041407629446,cwxxkjfz,https://notice.eastmoney.com/pdffile/web/H2_AN202009041407629446_1.pdf
东莞铭丰包装,预先披露更新,中小板,广东,财达证券股份有限公司,曲文波&sbquo;廖飞,北京市中银律师事务所,彭章键&sbquo;李向宏&sbquo;石磊,广东正中珠江会计师事务所(特殊普通合伙),何国铨&sbquo;刘清,是,木材加工及木、竹、藤、棕、草制品业,2018/6/14,80650859,AN201805021134971257,dgmfbz,https://notice.eastmoney.com/pdffile/web/H2_AN201805021134971257_1.pdf
东莞证券,中止审查,中小板,广东,东方花旗证券有限公司,陈睿&sbquo;魏浣忠,国浩律师(北京)事务所,张鼎映&sbquo;张冉,中审众环会计师事务所(特殊普通合伙),龚静伟&sbquo;王兵,是,资本市场服务,2018/6/14,80000081,AN201701110259653115,dgzq,https://notice.eastmoney.com/pdffile/web/H2_AN201701110259653115_1.pdf
大连万达商业地产,已反馈,主板企业,大连,中国银河证券股份有限公司&sbquo;中国国际金融股份有限公司,王红兵&sbquo;龙亮&sbquo;欧阳祖军&sbquo;刘丹,北京市天元律师事务所,许亮&sbquo;郑敏俐&sbquo;张征,大华会计师事务所(特殊普通合伙),付丽君&sbquo;杨卫国,是,房地产业,2018/6/14,80161192,AN201511130011407869,dlwdsydc,https://notice.eastmoney.com/pdffile/web/H2_AN201511130011407869_1.pdf
福莱特玻璃集团,预先披露更新,主板企业,浙江,广发证券股份有限公司,胡伊苹&sbquo;李晓芳,国浩律师(南京)事务所,王峰&sbquo;金明明,德勤华永会计师事务所(特殊普通合伙),虞杨&sbquo;步君,是,非金属矿物制品业,2018/6/14,80441732,AN201901281289154441,fltbljt,https://notice.eastmoney.com/pdffile/web/H2_AN201901281289154441_1.pdf
阜阳大可新材料,预先披露更新,主板企业,安徽,中信证券股份有限公司,向晓娟&sbquo;毛宗玄,浙江浙经律师事务所,方怀宇&sbquo;唐满&sbquo;卢叶苹,立信会计师事务所(特殊普通合伙),廖家河&sbquo;冯雪,是,木材加工和木、竹、藤、棕、草制品业,2018/6/14,80662797,AN201811301256019026,fydkxcl,https://notice.eastmoney.com/pdffile/web/H2_AN201811301256019026_1.pdf
广东波斯科技,预先披露更新,主板企业,广东,平安证券股份有限公司,唐伟&sbquo;李竹青,广东法制盛邦律师事务所,张锡海&sbquo;李家伟,立信会计师事务所(特殊普通合伙),周俊祥&sbquo;陈勇,是,橡胶和塑料制品业,2018/6/14,80373653,AN201712221069471291,gdbskj,https://notice.eastmoney.com/pdffile/web/H2_AN201712221069471291_1.pdf
广东东鹏控股,已反馈,中小板,广东,中国国际金融股份有限公司,章志皓&sbquo;潘志兵,北京市金杜律师事务所,龚牧龙&sbquo;蔺志军&sbquo;胡一舟,德勤华永会计师事务所(特殊普通合伙),刘佩珍&sbquo;袁君愉,是,非金属矿物质制造业,2018/6/14,80684597,AN202009271417787018,gddpkg,https://notice.eastmoney.com/pdffile/web/H2_AN202009271417787018_1.pdf
广东德兴食品,预先披露更新,主板企业,广东,广发证券股份有限公司,刘令&sbquo;袁若宾,国浩律师(广州)事务所,李彩霞&sbquo;程秉,广东正中珠江会计师事务所(特殊普通合伙),王旭彬&sbquo;张腾,是,畜牧业,2018/6/14,80485852,AN201803261110799943,gddxsp,https://notice.eastmoney.com/pdffile/web/H2_AN201803261110799943_1.pdf
广东趣炫网络,预先披露更新,主板企业,广东,广发证券股份有限公司,何尔璇&sbquo;吕绍昱,国浩律师(广州)事务所,李彩霞&sbquo;周姗姗,广东正中珠江会计师事务所(特殊普通合伙),洪文伟&sbquo;郭小军,是,软件和信息技术服务业,2018/6/14,80650862,AN201804121122139444,gdqxwl,https://notice.eastmoney.com/pdffile/web/H2_AN201804121122139444_1.pdf
广东日丰电缆,预先披露更新,中小板,广东,东莞证券股份有限公司,袁炜&sbquo;郭天顺,北京国枫律师事务所,周涛&sbquo;黄泽涛,广东正中珠江会计师事务所(特殊普通合伙),王韶华&sbquo;陈丹燕,是,电气机械和器材制造业,2018/6/14,80401345,AN201904231321280106,gdrfdl,https://notice.eastmoney.com/pdffile/web/H2_AN201904231321280106_1.pdf
广东松炀再生资源,已反馈,主板企业,广东,英大证券有限责任公司,梁宏勇&sbquo;周耿明,北京市康达律师事务所,娄爱东&sbquo;张狄柠,广东正中珠江会计师事务所(特殊普通合伙),王旭彬&sbquo;张腾,是,造纸和纸制品业,2018/6/14,80386395,AN201905201331024096,gdsyzszy,https://notice.eastmoney.com/pdffile/web/H2_AN201905201331024096_1.pdf
广东丸美生物技术,预先披露更新,主板企业,广东,中信证券股份有限公司,李建&sbquo;曾劲松,广东信达律师事务所,麻云燕&sbquo;李忠,广东正中珠江会计师事务所(特殊普通合伙),陈昭&sbquo;刘远帅,是,化学原料和化学制品制造业,2018/6/14,80374294,AN201906241336112518,gdwmswjs,https://notice.eastmoney.com/pdffile/web/H2_AN201906241336112518_1.pdf
国科恒泰(北京)医疗科技,预先披露更新,主板企业,北京,长城证券股份有限公司,张涛&sbquo;漆传金,北京市中伦律师事务所,宋晓明&sbquo;吕玮璐,致同会计师事务所(特殊普通合伙),任一优&sbquo;梁轶男,是,批发业,2018/6/14,80646312,AN201805151143849332,gkhtbjylkj,https://notice.eastmoney.com/pdffile/web/H2_AN201805151143849332_1.pdf
桂林西麦食品,已反馈,中小板,广西,招商证券股份有限公司,吴宏兴&sbquo;许阳,广东信达律师事务所,魏天慧&sbquo;易明辉&sbquo;魏蓝,立信会计师事务所(特殊普通合伙),赵勇&sbquo;王伟青,是,食品制造业,2018/6/14,80734448,AN201906021333377106,glxmsp,https://notice.eastmoney.com/pdffile/web/H2_AN201906021333377106_1.pdf
甘李药业,已通过发审会,主板企业,北京,中信证券股份有限公司,王琦&sbquo;罗汇,北京市中伦律师事务所,胡廷锋&sbquo;王川&sbquo;王冰,安永华明会计师事务所(特殊普通合伙),杨淑娟&sbquo;王丹,是,医药制造业,2018/6/14,80107569,AN202006151384926000,glyy,https://notice.eastmoney.com/pdffile/web/H2_AN202006151384926000_1.pdf
国联证券,预先披露更新,主板企业,江苏,南京证券股份有限公司,王刚&sbquo;胡磊,国浩律师(上海)事务所,刘维&sbquo;承婧艽,德勤华永会计师事务所(特殊普通合伙),马庆辉&sbquo;韩健,是,资本市场服务,2018/6/14,80000028,AN202007201392779708,glzq,https://notice.eastmoney.com/pdffile/web/H2_AN202007201392779708_1.pdf
广州富力地产,已反馈,主板企业,广东,招商证券股份有限公司&sbquo;中信证券股份有限公司,徐斌&sbquo;石志华&sbquo;黄冀&sbquo;郑淳,广东华商律师事务所,彭书清&sbquo;何玲波,立信会计师事务所(特殊普通合伙),王建民&sbquo;蔡洁瑜,是,房地产业,2018/6/14,10002327,,gzfldc,https://notice.eastmoney.com/pdffile/web/H2__1.pdf
广州广电计量检测,预先披露更新,中小板,广东,光大证券股份有限公司,张奇英&sbquo;唐双喜,广东南国德赛律师事务所,曲怀远&sbquo;安娜&sbquo;王炜玮,立信会计师事务所(特殊普通合伙),王建民&sbquo;蔡洁瑜,是,质检技术服务,2018/6/14,80278490,AN201910281369921305,gzgdjljc,https://notice.eastmoney.com/pdffile/web/H2_AN201910281369921305_1.pdf
河北润农节水,预先披露更新,主板企业,河北,中信建投证券股份有限公司,邱勇&sbquo;李珍,北京德恒律师事务所,苏文静&sbquo;杨昕炜,瑞华会计师事务所(特殊普通合伙),刘晓丽&sbquo;顾井喜,是,土木工程建筑业,2018/6/14,80373650,AN201801030012972815,hbrnjs,https://notice.eastmoney.com/pdffile/web/H2_AN201801030012972815_1.pdf
湖北五方光电,已反馈,中小板,湖北,民生证券股份有限公司,王旭&sbquo;王启超,北京德恒律师事务所,刘震国&sbquo;唐永生&sbquo;陈红雨&sbquo;郑婕,天健会计师事务所(特殊普通合伙),张骥&sbquo;覃见忠,是,计算机、通信和其他电子设备制造业,2018/6/14,80909927,AN201909031347752275,hbwfgd,https://notice.eastmoney.com/pdffile/web/H2_AN201909031347752275_1.pdf
宏和电子材料科技,已反馈,主板企业,上海,海通证券股份有限公司,李文杰&sbquo;孔令海,北京懋德律师事务所,张鑫&sbquo;李裕国,毕马威华振会计师事务所,刘许友&sbquo;方海杰,是,非金属矿物制品业,2018/6/14,80206419,AN201906161335286532,hhdzclkj,https://notice.eastmoney.com/pdffile/web/H2_AN201906161335286532_1.pdf
鸿合科技,已受理,中小板,北京,东兴证券股份有限公司,徐飞&sbquo;王璟,北京国枫律师事务所,胡刚&sbquo;曹亚娟,天职国际会计师事务所(特殊普通合伙),袁刚&sbquo;莫伟&sbquo;周百鸣,否,计算机、通信和其他电子设备制造业,2018/6/14,80919126,AN201905091328001544,hhkj,https://notice.eastmoney.com/pdffile/web/H2_AN201905091328001544_1.pdf
赫基(中国)集团,已反馈,主板企业,广东,华泰联合证券有限责任公司,李威&sbquo;吕瑜刚,北京市君合律师事务所,余永强&sbquo;胡义锦&sbquo;劳成哲,毕马威华振会计师事务所(特殊普通合伙),房炅&sbquo;殷文文,是,纺织服装、服饰业,2018/6/14,80734444,AN201807131166306222,hjzgjt,https://notice.eastmoney.com/pdffile/web/H2_AN201807131166306222_1.pdf
华林证券,已通过发审会,中小板,西藏,招商证券股份有限公司,岳东&sbquo;王玉亭,北京金诚同达律师事务所,刘胤宏&sbquo;郑晓东&sbquo;郑素文&sbquo;赵力峰,安永华明会计师事务所(特殊普通合伙),朱宝钦&sbquo;胡兴子,是,资本市场服务,2018/6/14,80000084,AN201812161269653149,hlzq,https://notice.eastmoney.com/pdffile/web/H2_AN201812161269653149_1.pdf
湖南华联瓷业,已反馈,主板企业,湖南,海通证券股份有限公司,王建伟&sbquo;李凌,湖南启元律师事务所,邹棒&sbquo;莫彪&sbquo;王喜&sbquo;胡峰,天健会计师事务所(特殊普通合伙),贺焕华&sbquo;李新葵,是,非金属矿物制品业,2018/6/14,80205027,AN202101061447871023,hnhlcy,https://notice.eastmoney.com/pdffile/web/H2_AN202101061447871023_1.pdf
湖南和顺石油,已上发审会，暂缓表决,主板企业,湖南,信达证券股份有限公司,曾维佳&sbquo;王卿,北京市中伦律师事务所,郑建江&sbquo;黄林枫,华普天健会计师事务所(特殊普通合伙),胡新荣&sbquo;朱武,是,零售业,2018/6/14,80648467,AN202003031375748986,hnhssy,https://notice.eastmoney.com/pdffile/web/H2_AN202003031375748986_1.pdf
湖南五新隧道智能装备,预先披露更新,主板企业,湖南,天风证券股份有限公司,徐浪&sbquo;姚奔,湖南启元律师事务所,邹棒&sbquo;许智&sbquo;邓争艳,天健会计师事务所(特殊普通合伙),刘钢跃&sbquo;郑生军,是,专用设备制造业,2018/6/14,80460875,AN201801301084064399,hnwxsdznzb,https://notice.eastmoney.com/pdffile/web/H2_AN201801301084064399_1.pdf
湖南宇晶机器,预先披露更新,中小板,湖南,海通证券股份有限公司,吕岩&sbquo;周云帆,上海市锦天城律师事务所,胡家军&sbquo;荀为正,中审众环会计师事务所(特殊普通合伙),舒畅&sbquo;蔡永光,是,通用设备制造业,2018/6/14,80444962,AN201811181247889721,hnyjjq,https://notice.eastmoney.com/pdffile/web/H2_AN201811181247889721_1.pdf
红塔证券,预先披露更新,主板企业,云南,东吴证券股份有限公司,章龙平&sbquo;周添,北京市通商律师事务所,张小满&sbquo;靳明明,立信会计师事务所(特殊普通合伙),冯万奇&sbquo;李福兴,是,资本市场服务,2018/6/14,80000057,AN201905301333044023,htzq,https://notice.eastmoney.com/pdffile/web/H2_AN201905301333044023_1.pdf
弘业期货,已反馈,中小板,江苏,招商证券股份有限公司,刘海燕&sbquo;阮明兴,北京市竞天公诚律师事务所,白维&sbquo;夏雪,毕马威华振会计师事务所(特殊普通合伙),陈思杰&sbquo;潘盛,是,其他金融业,2018/6/14,80044916,AN201905221331659852,hyqh,https://notice.eastmoney.com/pdffile/web/H2_AN201905221331659852_1.pdf
杭州申昊科技,预先披露更新,主板企业,浙江,财通证券股份有限公司,郭春洪&sbquo;徐光兵,北京国枫律师事务所,潘继东&sbquo;郭昕,天健会计师事务所(特殊普通合伙),叶喜撑&sbquo;韦军,是,电气机械和器材制造业,2018/6/14,80437086,AN202007091390598922,hzshkj,https://notice.eastmoney.com/pdffile/web/H2_AN202007091390598922_1.pdf
杭州天元宠物用品,预先披露更新,主板企业,浙江,海通证券股份有限公司,陈金林&sbquo;周舟,北京市康达律师事务所,王盛军&sbquo;周延&sbquo;张晓光,天健会计师事务所(特殊普通合伙),黄元喜&sbquo;金东伟,是,文教、工美、体育和娱乐用品制造业,2018/6/14,80496351,AN201801301084064402,hztycwyp,https://notice.eastmoney.com/pdffile/web/H2_AN201801301084064402_1.pdf
杭州西子智能停车,预先披露更新,主板企业,浙江,中信建投证券股份有限公司,秦龙&sbquo;王一浩,浙江天册律师事务所,虞文燕&sbquo;谭敏,天健会计师事务所(特殊普通合伙),俞佳南&sbquo;徐海泓,是,专用设备制造业,2018/6/14,80124351,AN201802271095029511,hzxzzntc,https://notice.eastmoney.com/pdffile/web/H2_AN201802271095029511_1.pdf
金华春光橡塑科技,已通过发审会,主板企业,浙江,中信建投证券股份有限公司,徐超&sbquo;俞康泽,国浩律师(杭州)事务所,杨钊&sbquo;吕兴伟,天健会计师事务所(特殊普通合伙),李德勇&sbquo;梁志勇,是,橡胶和塑料制品业,2018/6/14,80662793,AN201807161167063080,jhcgxskj,https://notice.eastmoney.com/pdffile/web/H2_AN201807161167063080_1.pdf
佳化化学,预先披露更新,主板企业,辽宁,海通证券股份有限公司,郑乾国&sbquo;薛阳,国浩律师(上海)事务所,岳永平&sbquo;宋亦琦,瑞华会计师事务所(特殊普通合伙),吴世昌&sbquo;胡永波,是,化学原料和化学制品制造业,2018/6/14,80200648,AN201706300680195061,jhhx,https://notice.eastmoney.com/pdffile/web/H2_AN201706300680195061_1.pdf
金辉集团,已反馈,主板企业,福建,中信证券股份有限公司,叶建中&sbquo;孔少锋,北京德恒律师事务所,吴莲花&sbquo;张晓丹,致同会计师事务所(特殊普通合伙),胡素萍&sbquo;陈思荣,是,房地产业,2018/6/14,80476681,AN201601290013318503,jhjt,https://notice.eastmoney.com/pdffile/web/H2_AN201601290013318503_1.pdf
景津环保,预先披露更新,主板企业,山东,中国银河证券股份有限公司,王飞&sbquo;李雪斌,北京君致律师事务所,王海青&sbquo;陈朋朋,瑞华会计师事务所(特殊普通合伙),谢卉&sbquo;佟环,是,通用设备制造业,2018/6/14,80204895,AN201907161338711835,jjhb,https://notice.eastmoney.com/pdffile/web/H2_AN201907161338711835_1.pdf
句容宁武新材料,已反馈,主板企业,江苏,光大证券股份有限公司,程刚&sbquo;周平,北京市金杜律师事务所,叶国俊&sbquo;赵晓红,安永华明会计师事务所(特殊普通合伙),汤哲辉&sbquo;赵振,是,化学原料和化学制品制造业,2018/6/14,80746553,AN201712290012970497,jrnwxcl,https://notice.eastmoney.com/pdffile/web/H2_AN201712290012970497_1.pdf
江苏大丰农村商业银行,预先披露更新,中小板,江苏,招商证券股份有限公司,杨爽&sbquo;蔡丹,江苏世纪同仁律师事务所,徐蓓蓓&sbquo;贾仟仞,立信会计师事务所(特殊普通合伙),朱海平&sbquo;汪万吉,是,货币金融服务,2018/6/14,80071838,AN201805081139501420,jsdfncsyyx,https://notice.eastmoney.com/pdffile/web/H2_AN201805081139501420_1.pdf
江苏德纳化学,预先披露更新,主板企业,江苏,广发证券股份有限公司,王骞&sbquo;徐东辉,上海市协力律师事务所,何屾&sbquo;徐冬兰&sbquo;胡岸,立信会计师事务所(特殊普通合伙),肖厚祥&sbquo;王涛&sbquo;徐锦华,是,化学原料和化学制品制造业,2018/6/14,80701787,AN201805241148371332,jsdnhx,https://notice.eastmoney.com/pdffile/web/H2_AN201805241148371332_1.pdf
江苏富淼科技,预先披露更新,主板企业,江苏,华创证券有限责任公司,吴卫华&sbquo;王立柱,北京市中伦文德律师事务所,刘晓琴&sbquo;孙洪江,中汇会计师事务所(特殊普通合伙),郭文令&sbquo;彭远卓,是,化学原料和化学制品制造业,2018/6/14,80288603,AN202101241453844044,jsfmkj,https://notice.eastmoney.com/pdffile/web/H2_AN202101241453844044_1.pdf
江苏丰山集团,预先披露更新,主板企业,江苏,华泰联合证券有限责任公司,王杰秋&sbquo;袁成栋,北京市海润律师事务所,许家武&sbquo;郁寅&sbquo;单震宇,江苏公证天业会计师事务所(特殊普通合伙),柏凌菁&sbquo;王震,是,化学原料和化学制品制造业,2018/6/14,80146069,AN201809031187561616,jsfsjt,https://notice.eastmoney.com/pdffile/web/H2_AN201809031187561616_1.pdf
江苏国茂减速机,预先披露更新,主板企业,江苏,国泰君安证券股份有限公司,张建华&sbquo;吴国梅,国浩律师(北京)事务所,杨娟&sbquo;卢颖,立信会计师事务所(特殊普通合伙),朱伟&sbquo;陈朝亮,是,通用设备制造业,2018/6/14,80662795,AN201906021333376767,jsgmjsj,https://notice.eastmoney.com/pdffile/web/H2_AN201906021333376767_1.pdf
江苏海安农村商业银行,已受理,主板企业,江苏,国泰君安证券股份有限公司,徐岚&sbquo;苗涛,北京炜衡(上海)律师事务所,郭俊&sbquo;屈敏,天健会计师事务所(特殊普通合伙),葛徐&sbquo;吴懿忻,否,货币金融服务,2018/6/14,80071818,AN201904011312808845,jshancsyyx,https://notice.eastmoney.com/pdffile/web/H2_AN201904011312808845_1.pdf
